EPAFacilityID,Name,LatestCompany1,LatestCompany2,LatestOperator,Addr1,Addr2,City,State,ZipCode,CountyFIPS,Lat,Lng,NumSubmissions,LatestValidationDate,LatestReceiptDate,LatestDeregDate,LatestDeregEffDate,NAICSCodesInLatest,ChemicalsInLatest,AccidentChemicalsInLatest,NumAccidentsInLatest
100000000045,"Yellow Breeches Water Treatment Plant","Pennsylvania American Water","American Water","Pennsylvania American Water","107 Meadowbrook Road",,"New Cumberland",PA,17070,42133,40.219167,-076.835278,4,2004-07-16,2004-06-18,2009-05-08,2009-05-06,22131,"Chlorine {12000}",,0
100000000054,"Sooner Cooperative, Inc",,,"Sooner Coop Inc.","724 S. Main",,Fairview,OK,73737,40093,36.263315,-098.480930,6,2014-04-29,2014-04-29,2018-10-31,2016-08-30,42491,"Ammonia (anhydrous) {130000}",,0
100000000072,"New Castle Water Treatment Plant","Pennsylvania American Water","American Water","Pennsylvania American Water","546 Leasure Avenue Extension",,"New Castle",PA,16105,42073,41.017778,-080.361944,8,2022-08-15,2022-02-23,,,22131,"Chlorine {18000}",,0
100000000081,"Farmers Win Coop - Burr Oak","Farmers Win Cooperative","Fomerly Winneshiek Cooperative Association","Farmers Win Cooperative","3480 US Highway 52",,Decorah,IA,52101,19191,43.438707,-091.859099,8,2025-05-12,2022-02-17,,,42491,"Ammonia (anhydrous) {588570}",,0
100000000090,"Warm Spring Rehabilitation Center","County of Los Angeles - Department of Health Svc","Antelope Valley Rehabilitation Centers","County of Los Angeles","38200 Lake Hughes Rd","PO Box 37",Castaic,CA,91310,06037,34.607972,118.558889,1,1999-04-15,1999-02-22,2005-07-12,2000-12-31,62322,"Propane {23000}",,0
100000000107,"Calumet Gas Plant","Tejas Gas Processing, LLC","Tejas Natural Gas Liquids, LLC","Shell Western E&P Inc.","10 miles West of Morgan City","on U.S. Highway 90",Calumet,LA,70392,22101,29.690833,-91.343333,1,1999-03-26,1999-02-08,,,21111,"Flammable Mixture {468302} • Flammable Mixture {288808} • Propane {223395} • Flammable Mixture {178227} • Flammable Mixture {58172}",,0
100000000125,"Norristown Water Treatment Plant","Pennsylvania American Water","American Water","Pennsylvania American Water","300 W. Washington Street",,Norristown,PA,19401,42091,40.113889,-075.348056,10,2020-03-30,2020-03-30,2020-10-06,2020-09-22,22131,"Chlorine {24000}",,0
100000000143,"Lake Scranton Plant","Pennsylvania American Water Company","American Water Works Service Company","PA-Amercian Water Comapny","RR 4, Box4414",,Moscow,PA,18444,42069,41.377222,-075.638611,9,2017-02-22,2017-02-22,2019-12-03,2019-11-22,22131,"Chlorine {34000}",,0
100000000161,"Ellwood City Water Treatment Plant","PA-American Water","American Water","PA-Amercian Water","907 Lundys Lane",,"Ellwood City",PA,16117,42073,40.858333,-080.254444,7,2018-03-28,2017-02-24,2020-01-06,2020-01-06,22131,"Chlorine {6000}",,0
100000000170,"Hershey Water Treatment Plant","Pennsylvania American Water","American Water","Pennsylvania American Water","200 East Canal Street",,Hummelstown,PA,17036,42043,40.308333,-076.675000,8,2020-03-30,2020-03-30,2021-06-29,2021-05-24,22131,"Chlorine {16000}",,0
100000000189,"Enterprise Tebone Fractionation Plant","Enterprise Gas Processings LLC",,"Enterprise Products Operating LLC.","10324 Highway 75",,Geismar,LA,70734,22005,30.219119,-091.033065,6,2025-03-06,2023-04-04,,,21113,"Flammable Mixture {5900000} • Flammable Mixture {3400000} • Flammable Mixture {3000000} • Flammable Mixture {430000} • Flammable Mixture {96000} • Flammable Mixture {74000} • Flammable Mixture {68000} • Flammable Mixture {62000} • Flammable Mixture {31000} • Ethyl mercaptan [Ethanethiol] {15000}",,0
100000000198,"Clearbrook Ag Service",,,"Clearbrook Ag Service","Jensen Street","Tower Street",Clearbrook,MN,56634,27029,47.699722,-095.431111,2,2004-10-18,2004-10-08,2009-04-29,2009-01-01,42459,"Ammonia (anhydrous) {180000}",,0
100000000205,"Farmward Cooperative - Wabasso",,,"Farmward Cooperative","Hwy 68 west",,Wabasso,MN,56293,27127,44.400312,-095.260230,7,2022-12-27,2022-12-27,,,"11111 • 11114 • 11115","Ammonia (anhydrous) {228000}",,0
100000000214,"Forest City Water Treatment Plant","PA-American Water Company","American Water Works Service Company","PA-American Water Company","Route 70",,"Forest City",PA,18401,42115,41.644028,-75.467972,4,2002-12-02,2002-12-02,2004-05-28,2004-05-24,22131,"Propane {1000} • Chlorine {900}",,0
100000000223,"Glacial Plains Cooperative Clontarf","Glacial Plains Cooperative",,"Glacial Plains Cooperative","100 Becker Ave. NE",,Clontarf,MN,56226,27151,45.377124,-095.673867,6,2019-04-24,2019-04-24,2024-03-08,2022-09-01,42459,"Ammonia (anhydrous) {430000}",,0
100000000232,"Ceastown Water Treatment Plant","PA-American Water Company","American Water Works Service Company","PA-American Water Company","Route 29","RR2, Box 53-B","Hunlock Creek",PA,18621,42079,41.250000,-076.033333,13,2022-11-30,2022-11-30,,,22131,"Chlorine {8000}",,0
100000000250,"Aurora Cooperative - Upland","Aurora Cooperative Elevator Company",,"Aurora Cooperative Elevator Company","Nebraska Spur 31A",,Upland,NE,68981,31061,40.319430,-98.904137,8,2023-09-12,2023-09-12,,,42491,"Ammonia (anhydrous) {600000}",,0
100000000269,"Brownell Water Treatment Plant","PA-American Water Company","American Water Works Service Company","PA-American Water Company","Off Route 6",,Carbondale,PA,18407,42069,41.576111,-075.471944,11,2024-02-28,2022-11-30,,,22131,"Chlorine {10000}",,0
100000000287,"Northern Country Cooperative Company(Emmons)","Northern Country Cooperative Company",,"Northern Country Cooperatiave Co.","248 State Street",,Emmons,MN,56029,27047,43.500008,-93.495276,5,2021-04-16,2021-04-16,,,42491,"Ammonia (anhydrous) {249000}",,0
100000000303,"Hillside Water Treatment Plant","PA-American Water Company","American Water Works Service Company","PA-American Water Company","Hillside Road",,Trucksville,PA,18708,42079,41.298611,-75.927222,1,2000-01-18,1999-03-08,2004-05-28,2004-05-24,22131,"Chlorine {8000}",,0
100000000312,"Fallbrook Water Treatment Plant","PA-American Water Company","American Water Works Service Company","PA-American Water Company","Route 106",,Carbondale,PA,18407,42069,41.601389,-075.655833,6,2007-05-21,2007-05-18,2009-05-08,2009-05-07,22131,"Chlorine {5000}",,0
100000000330,"Helena Agri-Enterprises, LLC - Canby, MN Facility","Helena Agri-Enterprises, LLC",,"Helena Agri-Enterprises, LLC","Intersection of 220th Ave. & Hwy.68",,Canby,MN,56220,27173,44.717222,-096.291981,6,2024-05-10,2024-05-10,,,42491,"Ammonia (anhydrous) {249991}",,0
100000000349,"Clark Community Oil Company",,,"Greg Overby","North Kansas Street",,Clark,SD,57225,46025,44.878889,-097.728333,3,2009-06-22,2009-06-22,2014-08-12,2014-06-15,"454312 • 45439","Ammonia (anhydrous) {160000} • Propane {120000}",,0
100000000367,"KRAGNES FARMERS ELEVATOR CO",,,"KRAGNES FARMERS ELEVATOR CO.","9749 21st ST. NORTH",,MOORHEAD,MN,56560,27027,46.983389,-096.750028,6,2015-09-28,2015-09-28,2021-05-13,2020-09-24,42491,"Ammonia (anhydrous) {260000}",,0
100000000385,"Bath Facility","Agtegra Cooperative",,"Agtegra Cooperative","105 392nd Avenue South",,Aberdeen,SD,57401,46013,45.465883,-98.375235,6,2024-07-08,2024-07-08,,,42491,"Ammonia (anhydrous) {970500}",,0
100000000401,"Tulare Facility","South Dakota Wheat Growers",,"South Dakota Wheat Growers","306 railway Avenue",,Tulare,SD,57476,46115,44.7369,-98.5052,3,2011-02-14,2009-06-25,2012-05-22,2012-05-15,42491,"Ammonia (anhydrous) {160000}",,0
100000000410,"Brandt Agronomic Services LLC -Cooksville",,,"Brandt Agronomic Services LLC","18966 N 2850 East Road",,Cooksville,IL,61730,17113,40.55895,-088.71775,9,2024-04-25,2024-04-25,,,42491,"Ammonia (anhydrous) {370000}",,0
100000000429,"Carolina Brand Foods, LLC","Tyson Foods, Inc.",,"Carolina Brand Foods, LLC","1 Bacon Place",,"Holly Ridge",NC,28445,37133,34.494167,-77.558056,2,2002-01-29,2002-01-28,2002-07-10,2002-06-21,311612,"Ammonia (anhydrous) {10000}",,0
100000000438,"KROWN INC DBA HI-YIELD PRODUCTS",,,"KROWN INC DBA HI-YIELD PRODUCTS","Rail Road Street",,"ALBERT LEA",MN,56007,27047,43.664861,-93.4695,1,1999-12-02,1999-03-01,2010-05-17,2010-03-11,454312,"Propane {108000}",,0
100000000456,"Equitable Shipyard LLC","Halter Marine Group, Inc.",,"Equitable Shipyard LLC","4325 France Road",,"New Orleans",LA,70126,22071,30.008611,-90.024167,1,1999-03-26,1999-03-15,2010-05-11,2010-04-29,"33661 • 336611","Propane {10176}",,0
100000000474,"Nestle Development Center","Nestle R&D Center, Inc.",,"Nestle Development Center","809 Collins Ave.",,Marysville,OH,43040,39159,40.229444,-083.375583,7,2025-09-09,2025-09-09,,,54171,"Ammonia (anhydrous) {21000}",,0
100000000492,"Hamlin County Farmers Coop",,,"Hamlin County Coop Oil","Redbird Avenue",,Hayti,SD,57241,46057,44.656603,-097.208232,3,2007-05-22,2007-05-21,2009-07-02,2009-06-17,11115,"Ammonia (conc 20% or greater) {90000}",,0
100000000526,"DFA Dairy Brands Fluid, LLC dba Purity Dairy","DFA Dairy Brands Fluid, LLC",,"DFA Dairy Brands Fluid, LLC dba Pur","360 Murfreesboro Rd.",,Nashville,TN,37210,47037,36.145556,-086.751389,8,2025-08-27,2025-08-27,,,31151,"Ammonia (anhydrous) {24000}",,0
