site_id,facility_name,cupa,physical_address,total_evals,total_violations,latest_eval,years_since,seismic,has_ammonia,is_food,is_refinery,is_p3,is_p2,iiar9_gap,revalid_overdue,revalid_soon,reval_due_year,pre_epa2024,urgency_score,notes,recommended_pitch,pain_points
6761,Arctic Glacier Carson 496,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,8,3,2023-11-15,2.3,High,False,False,False,True,False,True,False,False,2028,True,10,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | EPA 2024 RMP Rule: Third-party audit + STAA requirements unaddressed | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required | Program 3 confirmed: STAA + enhanced third-party audits mandatory
13207,BOWMAN PLATING CO INC,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,7,1,2020-05-06,5.8,High,False,False,False,False,False,True,True,False,2025,False,10,[],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2020-05-06 (5.8 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
36152,HERMETIC SEAL CORPORATION,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,1,2020-05-07,5.8,High,False,False,False,False,False,True,True,False,2025,False,10,[],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2020-05-07 (5.8 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
36483,HILL BROTHERS CHEMICAL CO,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,12,6,2020-12-07,5.2,High,True,False,False,False,False,True,True,False,2025,False,10,[],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2020-12-07 (5.2 yrs ago) | Significant violation history: 6 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
53733,OLIVENHAIN MWD AMMONIA FEED INJECTION FACILITY,San Diego County Department of Env Health,VERIFY via CERS SiteID or EPA ECHO,5,4,2020-03-03,6.0,Medium,False,False,False,False,False,True,True,False,2025,False,10,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2020-03-03 (6.0 yrs ago) | Significant violation history: 4 violations on record
55438,"AIR PRODUCTS MANUFACTURING, LLC",Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,10,2,2022-08-29,3.5,High,False,False,False,True,False,True,False,True,2027,True,10,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation DUE 2027: Plan now (2022-08-29) | EPA 2024 RMP Rule: Third-party audit + STAA requirements unaddressed | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required | Program 3 confirmed: STAA + enhanced third-party audits mandatory
72579,SUPERIOR PLATING & BUMPERS INC,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,7,1,2020-05-12,5.8,High,False,False,False,False,False,True,True,False,2025,False,10,[],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2020-05-12 (5.8 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
99466,BODYCOTE THERMAL PROCESSING (Benedict Way),Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,6,2,2019-11-20,6.3,High,False,False,False,False,False,True,True,False,2024,False,10,[],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2019-11-20 (6.3 yrs ago) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
106258,CITY OF PARAMOUNT WELL 14,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2021-02-08,5.1,High,False,False,False,False,False,True,True,False,2026,False,10,[],IIAR 9 MI Gap Analysis + RMP Revalidation Package,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation OVERDUE: Last eval 2021-02-08 (5.1 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
116878,FLEUR DE LAIT WEST,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,11,3,2023-03-06,3.0,High,False,True,False,True,False,True,False,False,2028,True,10,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | EPA 2024 RMP Rule: Third-party audit + STAA requirements unaddressed | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required | Program 3 confirmed: STAA + enhanced third-party audits mandatory
